Category,Model,Model Year,Manufacturer,Fuel,Alternative Fuel Economy City,Alternative Fuel Economy Combined,Conventional Fuel Economy City,Conventional Fuel Economy Combined,Drivetrain
SUV,Mustang Mach-E RWD California Route 1,2022.0,Ford,Electric,108.0,101.0,,,RWD
SUV,Mustang Mach-E RWD Extended,2022.0,Ford,Electric,104.0,97.0,,,RWD
Van,Transit Connect Van FFV,2022.0,Ford,Ethanol (E85),18.0,19.0,24.0,25.0,FWD
Passenger Van/Shuttle Bus,Transit Connect Wagon LWB FFV,2022.0,Ford,Ethanol (E85),16.0,18.0,24.0,26.0,FWD
Van,Transit T150 Passenger Van 2WD FFV,2022.0,Ford,Ethanol (E85),11.0,12.0,15.0,17.0,RWD
Van,Transit T150 Passenger Van 4WD FFV,2022.0,Ford,Ethanol (E85),11.0,12.0,14.0,16.0,4WD
Pickup,Canyon 2WD,2022.0,GMC,Biodiesel (B20),,,20.0,23.0,RWD
Pickup,Canyon 4WD,2022.0,GMC,Biodiesel (B20),,,19.0,22.0,4WD
Pickup,Sierra 2WD,2022.0,GMC,Ethanol (E85),11.0,12.0,15.0,16.0,RWD
Pickup,Sierra 2WD,2022.0,GMC,Biodiesel (B20),,,23.0,26.0,RWD
Pickup,Sierra 4WD,2022.0,GMC,Ethanol (E85),11.0,12.0,14.0,16.0,4WD
Pickup,Sierra 4WD,2022.0,GMC,Biodiesel (B20),,,22.0,24.0,4WD
Pickup,Sierra 4WD - Mud Terrain Tires,2022.0,GMC,Biodiesel (B20),,,20.0,21.0,4WD
Pickup,Sierra 4WD - Mud Terrain Tires,2022.0,GMC,Ethanol (E85),11.0,12.0,14.0,15.0,4WD
SUV,Yukon 2WD,2022.0,GMC,Biodiesel (B20),,,21.0,23.0,RWD
SUV,Yukon 4WD,2022.0,GMC,Biodiesel (B20),,,20.0,22.0,4WD
SUV,Yukon XL 2WD,2022.0,GMC,Biodiesel (B20),,,21.0,23.0,RWD
SUV,Yukon XL 4WD,2022.0,GMC,Biodiesel (B20),,,20.0,22.0,4WD
Sedan/Wagon,Accord,2022.0,Honda,Hybrid Electric,,,48.0,47.0,FWD
Sedan/Wagon,Accord Sport/Touring,2022.0,Honda,Hybrid Electric,,,44.0,43.0,FWD
SUV,CR-V AWD,2022.0,Honda,Hybrid Electric,,,40.0,38.0,AWD
Sedan/Wagon,Insight,2022.0,Honda,Hybrid Electric,,,55.0,52.0,FWD
Sedan/Wagon,Insight Touring,2022.0,Honda,Hybrid Electric,,,51.0,48.0,FWD
Sedan/Wagon,Elantra Hybrid,2022.0,Hyundai,Hybrid Electric,,,49.0,50.0,FWD
Sedan/Wagon,Elantra Hybrid Blue,2022.0,Hyundai,Hybrid Electric,,,53.0,54.0,FWD
Sedan/Wagon,Ioniq,2022.0,Hyundai,Hybrid Electric,,,54.0,55.0,FWD
SUV,Ioniq 5 AWD (Long Range),2022.0,Hyundai,Electric,110.0,98.0,,,AWD
SUV,Ioniq 5 RWD,2022.0,Hyundai,Electric,127.0,110.0,,,RWD
SUV,Ioniq 5 RWD (Long Range),2022.0,Hyundai,Electric,132.0,114.0,,,RWD
Sedan/Wagon,Ioniq Blue,2022.0,Hyundai,Hybrid Electric,,,58.0,59.0,FWD
Sedan/Wagon,Ioniq Plug-in Hybrid,2022.0,Hyundai,Plug-in Hybrid Electric,,119.0,52.0,52.0,FWD
SUV,Kona Electric,2022.0,Hyundai,Electric,132.0,120.0,,,FWD
SUV,Nexo,2022.0,Hyundai,Hydrogen Fuel Cell,59.0,57.0,,,FWD
SUV,Nexo Blue,2022.0,Hyundai,Hydrogen Fuel Cell,65.0,61.0,,,FWD
Sedan/Wagon,Santa Fe Hybrid,2022.0,Hyundai,Hybrid Electric,,,33.0,32.0,4WD
Sedan/Wagon,Santa Fe Hybrid Blue,2022.0,Hyundai,Hybrid Electric,,,36.0,34.0,4WD
Sedan/Wagon,Santa Fe Plug-in Hybrid,2022.0,Hyundai,Plug-in Hybrid Electric,,76.0,33.0,33.0,AWD
Sedan/Wagon,Sonata Hybrid,2022.0,Hyundai,Hybrid Electric,,,45.0,47.0,FWD
Sedan/Wagon,Sonata Hybrid Blue,2022.0,Hyundai,Hybrid Electric,,,50.0,52.0,FWD
Sedan/Wagon,Tucson Hybrid,2022.0,Hyundai,Hybrid Electric,,,37.0,37.0,4WD
Sedan/Wagon,Tucson Hybrid Blue,2022.0,Hyundai,Hybrid Electric,,,38.0,38.0,4WD
SUV,Tucson Plug-in Hybrid,2022.0,Hyundai,Plug-in Hybrid Electric,,80.0,35.0,35.0,AWD
SUV,E-PACE MHEV,2022.0,Jaguar,Hybrid Electric,,,21.0,23.0,AWD
SUV,F-PACE P340 MHEV,2022.0,Jaguar,Hybrid Electric,,,20.0,22.0,4WD
SUV,F-PACE P400 MHEV,2022.0,Jaguar,Hybrid Electric,,,19.0,22.0,4WD
SUV,Grand Cherokee 4xe,2022.0,Jeep,Plug-in Hybrid Electric,,56.0,23.0,23.0,4WD
SUV,Wagoneer 4x2,2022.0,Jeep,Hybrid Electric,,,16.0,18.0,RWD
SUV,Wagoneer 4x4,2022.0,Jeep,Hybrid Electric,,,15.0,17.0,4WD
SUV,Wrangler 2dr 4x4,2022.0,Jeep,Hybrid Electric,,,20.0,21.0,4WD
SUV,Wrangler 4dr 4x4,2022.0,Jeep,Hybrid Electric,,,19.0,21.0,4WD
SUV,Wrangler 4dr 4xe,2022.0,Jeep,Plug-in Hybrid Electric,,49.0,20.0,20.0,4WD
Sedan/Wagon,EV6 AWD (Long Range) ,2022.0,Kia,Electric,116.0,105.0,,,AWD
Sedan/Wagon,EV6 RWD,2022.0,Kia,Electric,136.0,117.0,,,RWD
Sedan/Wagon,EV6 RWD (Long Range) ,2022.0,Kia,Electric,134.0,117.0,,,RWD
Sedan/Wagon,Niro,2022.0,Kia,Hybrid Electric,,,51.0,49.0,FWD
Sedan/Wagon,Niro Electric,2022.0,Kia,Electric,123.0,112.0,,,FWD
Sedan/Wagon,Niro FE,2022.0,Kia,Hybrid Electric,,,53.0,50.0,FWD
Sedan/Wagon,Niro Plug-in Hybrid,2022.0,Kia,Plug-in Hybrid Electric,,105.0,48.0,46.0,FWD
Sedan/Wagon,Niro Touring,2022.0,Kia,Hybrid Electric,,,46.0,43.0,FWD
SUV,Sorento Hybrid AWD,2022.0,Kia,Hybrid Electric,,,36.0,35.0,AWD
SUV,Sorento Hybrid FWD,2022.0,Kia,Hybrid Electric,,,39.0,37.0,FWD
SUV,Sorento Plug-in Hybrid,2022.0,Kia,Plug-in Hybrid Electric,,79.0,35.0,34.0,AWD
SUV,Defender 110 MHEV,2022.0,Land Rover,Hybrid Electric,,,17.0,19.0,4WD
SUV,Defender 90 MHEV,2022.0,Land Rover,Hybrid Electric,,,17.0,19.0,4WD
SUV,Discovery MHEV,2022.0,Land Rover,Hybrid Electric,,,18.0,21.0,AWD
SUV,New Range Rover P360 LWB MHEV,2022.0,Land Rover,Hybrid Electric,,,18.0,21.0,4WD
SUV,New Range Rover P360 MHEV,2022.0,Land Rover,Hybrid Electric,,,18.0,21.0,4WD
SUV,New Range Rover P400 LWB MHEV,2022.0,Land Rover,Hybrid Electric,,,18.0,21.0,4WD
SUV,New Range Rover P400 MHEV,2022.0,Land Rover,Hybrid Electric,,,18.0,21.0,4WD
SUV,Range Rover Evoque MHEV,2022.0,Land Rover,Hybrid Electric,,,21.0,23.0,4WD
SUV,Range Rover P360 MHEV,2022.0,Land Rover,Hybrid Electric,,,18.0,20.0,4WD
SUV,Range Rover P400 MHEV,2022.0,Land Rover,Hybrid Electric,,,18.0,20.0,4WD
SUV,Range Rover Sport P360 MHEV,2022.0,Land Rover,Hybrid Electric,,,19.0,21.0,4WD
SUV,Range Rover Sport P400 MHEV,2022.0,Land Rover,Hybrid Electric,,,19.0,21.0,4WD
SUV,Range Rover Sport PHEV,2022.0,Land Rover,Plug-in Hybrid Electric,,42.0,18.0,19.0,4WD
SUV,Range Rover Velar P340 MHEV,2022.0,Land Rover,Hybrid Electric,,,20.0,22.0,4WD
SUV,Range Rover Velar P400 MHEV,2022.0,Land Rover,Hybrid Electric,,,19.0,21.0,4WD
Sedan/Wagon,ES 300h,2022.0,Lexus,Hybrid Electric,,,43.0,44.0,FWD
Sedan/Wagon,LC 500h,2022.0,Lexus,Hybrid Electric,,,26.0,29.0,RWD
Sedan/Wagon,LS 500h AWD,2022.0,Lexus,Hybrid Electric,,,22.0,25.0,AWD
SUV,NX 350h AWD,2022.0,Lexus,Hybrid Electric,,,41.0,39.0,AWD
SUV,NX 450+ AWD,2022.0,Lexus,Plug-in Hybrid Electric,,84.0,38.0,36.0,AWD
SUV,RX 450h AWD,2022.0,Lexus,Hybrid Electric,,,31.0,30.0,AWD
SUV,RX 450h L AWD,2022.0,Lexus,Hybrid Electric,,,29.0,29.0,AWD
Sedan/Wagon,UX 250h,2022.0,Lexus,Hybrid Electric,,,43.0,42.0,FWD
Sedan/Wagon,UX 250h AWD,2022.0,Lexus,Hybrid Electric,,,41.0,39.0,AWD
SUV,Aviator AWD PHEV,2022.0,Lincoln,Plug-in Hybrid Electric,,56.0,22.0,23.0,AWD
SUV,Corsair AWD PHEV,2022.0,Lincoln,Plug-in Hybrid Electric,,78.0,34.0,33.0,Part-Time 4WD
Sedan/Wagon,"Air Dream P AWD w/19"" wheels",2022.0,"Lucid USA, Inc.",Electric,117.0,116.0,,,AWD
Sedan/Wagon,"Air Dream P AWD w/21"" wheels",2022.0,"Lucid USA, Inc.",Electric,110.0,111.0,,,AWD
Sedan/Wagon,"Air Dream R AWD w/19"" wheels",2022.0,"Lucid USA, Inc.",Electric,126.0,125.0,,,AWD
Sedan/Wagon,"Air Dream R AWD w/21"" wheels",2022.0,"Lucid USA, Inc.",Electric,115.0,116.0,,,AWD
Sedan/Wagon,"Air G Touring AWD w/19"" wheels",2022.0,"Lucid USA, Inc.",Electric,130.0,131.0,,,AWD
Sedan/Wagon,"Air G Touring AWD w/21"" wheels",2022.0,"Lucid USA, Inc.",Electric,121.0,121.0,,,AWD
Sedan/Wagon,MX-30,2022.0,Mazda,Electric,98.0,92.0,,,FWD
Sedan/Wagon,AMG E53 4MATIC+,2022.0,Mercedes-Benz,Hybrid Electric,,,21.0,24.0,AWD
Sedan/Wagon,AMG E53 4MATIC+ (Convertible),2022.0,Mercedes-Benz,Hybrid Electric,,,20.0,23.0,AWD
Sedan/Wagon,AMG E53 4MATIC+ (Coupe),2022.0,Mercedes-Benz,Hybrid Electric,,,20.0,23.0,AWD
SUV,AMG GLE 53 4MATIC+,2022.0,Mercedes-Benz,Hybrid Electric,,,18.0,19.0,AWD
SUV,AMG GLE 53 4MATIC+ (Coupe),2022.0,Mercedes-Benz,Hybrid Electric,,,17.0,19.0,AWD
SUV,AMG GLE 63 4MATIC+,2022.0,Mercedes-Benz,Hybrid Electric,,,14.0,15.0,AWD
SUV,AMG GLE 63 S 4MATIC+,2022.0,Mercedes-Benz,Hybrid Electric,,,15.0,16.0,AWD
SUV,AMG GLE 63 S 4MATIC+ (coupe),2022.0,Mercedes-Benz,Hybrid Electric,,,15.0,16.0,AWD
Sedan/Wagon,AMG GT 43 4MATIC+,2022.0,Mercedes-Benz,Hybrid Electric,,,19.0,21.0,AWD
Sedan/Wagon,AMG GT 53 4MATIC+,2022.0,Mercedes-Benz,Hybrid Electric,,,19.0,21.0,AWD
Sedan/Wagon,C 300,2022.0,Mercedes-Benz,Hybrid Electric,,,25.0,29.0,RWD
Sedan/Wagon,C 300 4MATIC,2022.0,Mercedes-Benz,Hybrid Electric,,,23.0,27.0,AWD
Sedan/Wagon,CLS 450 4MATIC,2022.0,Mercedes-Benz,Hybrid Electric,,,22.0,25.0,AWD
Sedan/Wagon,E 450 4MATIC,2022.0,Mercedes-Benz,Hybrid Electric,,,23.0,25.0,AWD
Sedan/Wagon,E 450 4MATIC All-Terrain (wagon),2022.0,Mercedes-Benz,Hybrid Electric,,,21.0,24.0,AWD
Sedan/Wagon,E 450 4MATIC (Convertible),2022.0,Mercedes-Benz,Hybrid Electric,,,22.0,24.0,AWD
Sedan/Wagon,E 450 4MATIC (Coupe),2022.0,Mercedes-Benz,Hybrid Electric,,,22.0,24.0,AWD
Sedan/Wagon,E 450 (Convertible),2022.0,Mercedes-Benz,Hybrid Electric,,,22.0,25.0,RWD
Sedan/Wagon,E 450 (Coupe),2022.0,Mercedes-Benz,Hybrid Electric,,,22.0,25.0,RWD
Sedan/Wagon,EQS450+,2022.0,Mercedes-Benz,Electric,97.0,97.0,,,RWD
Sedan/Wagon,EQS 580 4MATIC,2022.0,Mercedes-Benz,Electric,92.0,95.0,,,AWD
SUV,GLE 450 4MATIC,2022.0,Mercedes-Benz,Hybrid Electric,,,20.0,22.0,AWD
SUV,GLE 450 4MATIC,2022.0,Mercedes-Benz,Hybrid Electric,,,20.0,22.0,AWD
SUV,GLE 580 4MATIC,2022.0,Mercedes-Benz,Hybrid Electric,,,16.0,18.0,AWD
SUV,GLS 450 4MATIC,2022.0,Mercedes-Benz,Hybrid Electric,,,18.0,20.0,AWD
SUV,GLS 580 4MATIC,2022.0,Mercedes-Benz,Hybrid Electric,,,16.0,18.0,AWD
SUV,GLS 600 4MATIC Maybach,2022.0,Mercedes-Benz,Hybrid Electric,,,14.0,17.0,AWD
Sedan/Wagon,S 500 4MATIC,2022.0,Mercedes-Benz,Hybrid Electric,,,21.0,24.0,AWD
Sedan/Wagon,S 580 4MATIC,2022.0,Mercedes-Benz,Hybrid Electric,,,16.0,19.0,AWD
Sedan/Wagon,S 580 4MATIC Maybach,2022.0,Mercedes-Benz,Hybrid Electric,,,15.0,18.0,AWD
Sedan/Wagon,Cooper SE Countryman ALL4,2022.0,Mini,Plug-in Hybrid Electric,,73.0,29.0,29.0,AWD
Sedan/Wagon,Cooper SE Hardtop 2 door,2022.0,Mini,Electric,119.0,110.0,,,FWD
SUV,Outlander PHEV,2022.0,Mitsubishi,Plug-in Hybrid Electric,,74.0,26.0,26.0,AWD
Sedan/Wagon,Leaf (40 kWh battery pack),2022.0,Nissan,Electric,123.0,111.0,,,FWD
Sedan/Wagon,Leaf (62 kWh battery pack),2022.0,Nissan,Electric,118.0,108.0,,,FWD
Sedan/Wagon,Leaf SV/SL (62 kWh battery pack),2022.0,Nissan,Electric,114.0,104.0,,,FWD
Sedan/Wagon,Polestar 2 (Dual Motor),2022.0,Polestar Automotive USA,Electric,94.0,89.0,,,AWD
Sedan/Wagon,Polestar 2 (Single Motor),2022.0,Polestar Automotive USA,Electric,113.0,107.0,,,FWD
SUV,Cayenne/Coupe/Platinum e-Hybrid,2022.0,Porsche,Plug-in Hybrid Electric,,46.0,20.0,21.0,AWD
SUV,Cayenne Turbo S/Coupe e-Hybrid ,2022.0,Porsche,Plug-in Hybrid Electric,,42.0,17.0,18.0,AWD
Sedan/Wagon,Panamera 4 E-Hybrid Executive,2022.0,Porsche,Plug-in Hybrid Electric,,52.0,21.0,22.0,AWD
Sedan/Wagon,Panamera 4S E-Hybrid Executive,2022.0,Porsche,Plug-in Hybrid Electric,,50.0,21.0,22.0,AWD
Sedan/Wagon,Panamera Turbo S E-Hybrid Executive/ST,2022.0,Porsche,Plug-in Hybrid Electric,,48.0,18.0,19.0,AWD
Sedan/Wagon,Taycan 4 Cross Turismo,2022.0,Porsche,Electric,76.0,76.0,,,AWD
Sedan/Wagon,Taycan 4S Cross Turismo,2022.0,Porsche,Electric,75.0,75.0,,,AWD
Sedan/Wagon,Taycan 4S Perf Battery,2022.0,Porsche,Electric,79.0,79.0,,,AWD
Sedan/Wagon,Taycan 4S Perf Battery Plus,2022.0,Porsche,Electric,72.0,77.0,,,AWD
Sedan/Wagon,Taycan Perf Battery,2022.0,Porsche,Electric,76.0,79.0,,,AWD
