año,mes,dia,taxi,viajes_totales,distancia_total,distancia_prom,tarifa_total,tarifa_prom
2019,1,16,yellow,272699,772512.01,2.832837707509012,4393662.45,16.111765903065287
2019,1,17,yellow,284580,796417.12,2.798570243868157,4589741.61,16.12812428842505
2019,1,18,yellow,266848,767893.14,2.8776424781148817,4290535.72,16.07857551864732
2019,1,19,yellow,236365,618446.82,2.616490681784528,3394270.2,14.360291075243795
2019,1,20,yellow,203114,557650.68,2.745505873548845,2875068.48,14.154949831129317
2019,1,21,yellow,192826,584190.19,3.0296235466171573,2947586.9,15.286252372605354
2019,1,22,yellow,255178,726900.92,2.8486034062497554,4099375.51,16.064768553715446
2019,1,23,yellow,261151,730119.63,2.7957757389403066,4581537.72,17.543634602203323
2019,1,24,yellow,281959,766788.51,2.719503580307775,4545488.61,16.12109778372033
2019,1,25,yellow,292499,816091.19,2.790064889110732,4686430.39,16.022039015518
2019,1,26,yellow,271993,704877.21,2.5915270245925446,3963217.44,14.571027342615436
2019,1,27,yellow,220451,685534.68,3.109691858961856,3514364.59,15.941704006786088
2019,1,28,yellow,241040,693757.02,2.8781821274477264,3828187.65,15.881960048124792
2019,1,29,yellow,259786,697360.27,2.68436432294273,4043289.84,15.563925076793977
2019,1,30,yellow,276774,722290.03,2.609674427511255,4226932.34,15.272143842991031
2019,1,31,yellow,284625,773079.15,2.716132279314888,4517258.7,15.870913306982873
2019,2,1,yellow,299198,807461.09,2.698751629355811,4739500.8,15.840683427028257
2019,2,2,yellow,267300,696026.45,2.603914889637112,4418061.61,16.528475907220354
2019,2,3,yellow,221420,689451.67,3.113773236383344,4032526.31,18.212114126998465
2019,2,4,yellow,233784,713266.89,3.0509653782979163,4454307.67,19.053090331245937
2019,2,5,yellow,253675,732145.0,2.886153542919089,4757209.74,18.7531673992313
2019,2,6,yellow,278326,775783.74,2.787320408441899,5213040.17,18.729979125198508
2019,2,7,yellow,276277,804757.69,2.9128653127115176,5326572.96,19.27982770914698
2019,2,8,yellow,289576,825922.95,2.852180256651104,5501200.0600000005,18.997430933502777
2019,2,9,yellow,277153,723425.5,2.610202667840507,4819053.13,17.387699682125035
2019,2,10,yellow,221805,694150.28,3.129551993868488,4113304.54,18.54468808187372
2019,2,11,yellow,236660,719117.89,3.038611890475788,4524303.59,19.11731424828868
2019,2,12,yellow,238094,620019.31,2.604094643292145,4205917.5200000005,17.6649454417163
2019,2,13,yellow,268810,781211.09,2.906183140508165,5257731.42,19.55928507123991
2019,2,14,yellow,272187,787474.15,2.8931365201130106,5241324.3,19.256335901420712
2019,2,15,yellow,257431,781817.79,3.03699939012784,5023740.04,19.51489929340289
2019,2,16,yellow,240557,669227.79,2.781992583878249,4243246.07,17.639254189235817
2019,2,17,yellow,212622,636072.03,2.991562632276999,3831590.84,18.02066973314144
2019,2,18,yellow,193460,641021.1,3.313455494675902,3646603.51,18.84939269099556
2019,2,19,yellow,235883,722337.28,3.0622693453958107,4599299.67,19.498224416342
2019,2,20,yellow,241835,681602.8,2.818462174623193,4471964.11,18.491798581677592
2019,2,21,yellow,253497,773446.29,3.0511062852814828,4982985.14,19.656978741365773
2019,2,22,yellow,264527,779911.25,2.9483238005950243,5038235.03,19.046203336521412
2019,2,23,yellow,253543,706954.87,2.788303640802546,4488395.2,17.702698161653053
2019,2,24,yellow,208959,681814.27,3.2629093267100244,3920539.69,18.76224374159524
2019,2,25,yellow,235334,715791.61,3.04159879150484,5161128.98,21.93108084679647
2019,2,26,yellow,263782,768008.98,2.911529141488047,5008664.71,18.98789420809608
2019,2,27,yellow,271820,800321.69,2.9443075932602456,5216972.86,19.192748362887205
2019,2,28,yellow,281229,834831.88,2.968512777842968,5498834.09,19.55287004540784
2019,3,1,yellow,282409,832561.28,2.9480692187571926,5382137.32,19.057952544005328
2019,3,2,yellow,252181,707219.62,2.804412782882136,4420255.47,17.528106677346827
2019,3,3,yellow,222455,694064.8,3.1200233755141493,4078466.82,18.333895934009124
2019,3,4,yellow,208760,663191.8,3.176814523855145,3954315.1,18.94191942900939
