Vehicle ID,Fuel ID,Fuel Configuration ID,Manufacturer ID,Model,Model Year,Alternative Fuel Economy City,Alternative Fuel Economy Combined,Conventional Fuel Economy City,Conventional Fuel Economy Combined,Manufacturer,Category,Fuel Code,Fuel,Drivetrain
12400,57,9.0,424,Revero,2019,60.0,,19.0,20.0,Karma,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,
12080,45,9.0,361,Niro,2019,,,51.0,49.0,Kia,Sedan/Wagon,HYBR,Hybrid Electric,
12104,41,1.0,361,Niro Electric,2019,123.0,112.0,,,Kia,Sedan/Wagon,ELEC,Electric,
12081,45,9.0,361,Niro FE,2019,,,52.0,50.0,Kia,Sedan/Wagon,HYBR,Hybrid Electric,
12166,57,9.0,361,Niro Plug-in Hybrid,2019,,105.0,48.0,46.0,Kia,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,
12082,45,9.0,361,Niro Touring,2019,,,46.0,43.0,Kia,Sedan/Wagon,HYBR,Hybrid Electric,
12083,45,9.0,361,Optima Hybrid,2019,,,39.0,41.0,Kia,Sedan/Wagon,HYBR,Hybrid Electric,
12090,57,9.0,361,Optima Plug-In Hybrid,2019,,103.0,38.0,40.0,Kia,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,
12221,41,1.0,361,Soul,2019,124.0,108.0,,,Kia,Sedan/Wagon,ELEC,Electric,
12099,35,1.0,387,Range Rover Discovery,2019,,,21.0,23.0,Land Rover,SUV,BD,Biodiesel (B20),
12098,35,1.0,387,Range Rover Sport,2019,,,22.0,24.0,Land Rover,SUV,BD,Biodiesel (B20),
12403,45,1.0,387,Range Rover Sport MHEV,2019,,,19.0,21.0,Land Rover,SUV,HYBR,Hybrid Electric,
12097,35,1.0,387,Range Rover SVA,2019,,,22.0,24.0,Land Rover,SUV,BD,Biodiesel (B20),
12208,35,1.0,387,Range Rover Velar,2019,,,26.0,28.0,Land Rover,SUV,BD,Biodiesel (B20),
12146,45,9.0,243,ES 300h,2019,,,43.0,44.0,Lexus,Sedan/Wagon,HYBR,Hybrid Electric,
12143,45,9.0,243,LC 500h,2019,,,27.0,30.0,Lexus,Sedan/Wagon,HYBR,Hybrid Electric,
12144,45,9.0,243,LS 500h,2019,,,25.0,28.0,Lexus,Sedan/Wagon,HYBR,Hybrid Electric,
12145,45,9.0,243,LS 500h AWD,2019,,,23.0,26.0,Lexus,Sedan/Wagon,HYBR,Hybrid Electric,
12056,45,9.0,243,NX 300h AWD,2019,,,33.0,31.0,Lexus,SUV,HYBR,Hybrid Electric,
12084,45,9.0,243,RX 450h AWD,2019,,,31.0,30.0,Lexus,SUV,HYBR,Hybrid Electric,
12147,45,9.0,243,RX 450h L AWD,2019,,,29.0,29.0,Lexus,SUV,HYBR,Hybrid Electric,
12189,45,1.0,243,UX 250h,2019,,,43.0,42.0,Lexus,Sedan/Wagon,HYBR,Hybrid Electric,
